date,region,sst
2024-07-15,Gulf of St. Lawrence,17.876
2025-07-15,Bay of Fundy,13.725
2025-07-15,Scotian Shelf,16.257
2025-07-15,Gulf of St. Lawrence,16.778
2026-01-15,Bay of Fundy,3.674
2026-01-15,Scotian Shelf,3.877
2026-01-15,Gulf of St. Lawrence,0.037
1981-09-15,Bay of Fundy,13.977
1981-09-15,Scotian Shelf,16.606
1981-09-15,Gulf of St. Lawrence,14.773
1981-10-15,Bay of Fundy,11.872
1981-10-15,Scotian Shelf,12.561
1981-10-15,Gulf of St. Lawrence,8.387
1981-11-15,Bay of Fundy,9.449
1981-11-15,Scotian Shelf,9.515
1981-11-15,Gulf of St. Lawrence,5.217
1981-12-15,Bay of Fundy,6.939
1981-12-15,Scotian Shelf,6.959
1981-12-15,Gulf of St. Lawrence,3.427
1982-01-15,Bay of Fundy,3.327
1982-01-15,Scotian Shelf,3.024
1982-01-15,Gulf of St. Lawrence,0.566
1982-02-15,Bay of Fundy,2.299
1982-02-15,Scotian Shelf,2.114
1982-02-15,Gulf of St. Lawrence,-0.253
1982-03-15,Bay of Fundy,1.669
1982-03-15,Scotian Shelf,1.31
1982-03-15,Gulf of St. Lawrence,-0.045
1982-04-15,Bay of Fundy,2.558
1982-04-15,Scotian Shelf,1.829
1982-04-15,Gulf of St. Lawrence,0.5
1982-05-15,Bay of Fundy,4.602
1982-05-15,Scotian Shelf,6.006
1982-05-15,Gulf of St. Lawrence,4.026
1982-06-15,Bay of Fundy,8.387
1982-06-15,Scotian Shelf,7.577
1982-06-15,Gulf of St. Lawrence,7.809
1982-08-15,Bay of Fundy,13.057
1982-08-15,Scotian Shelf,16.365
1982-08-15,Gulf of St. Lawrence,15.31
1982-09-15,Bay of Fundy,12.942
1982-09-15,Scotian Shelf,15.783
1982-09-15,Gulf of St. Lawrence,12.459
1982-10-15,Bay of Fundy,11.927
1982-10-15,Scotian Shelf,12.794
1982-10-15,Gulf of St. Lawrence,9.307
1982-11-15,Bay of Fundy,9.529
1982-11-15,Scotian Shelf,9.093
1982-11-15,Gulf of St. Lawrence,4.948
1982-12-15,Bay of Fundy,5.943
1982-12-15,Scotian Shelf,5.71
1982-12-15,Gulf of St. Lawrence,1.168
1983-01-15,Bay of Fundy,4.582
1983-01-15,Scotian Shelf,4.215
1983-01-15,Gulf of St. Lawrence,0.116
1983-02-15,Bay of Fundy,2.832
1983-02-15,Scotian Shelf,3.164
1983-02-15,Gulf of St. Lawrence,-0.642
1983-03-15,Bay of Fundy,1.603
1983-03-15,Scotian Shelf,2.389
1983-03-15,Gulf of St. Lawrence,-0.024
1983-04-15,Bay of Fundy,2.883
1983-04-15,Scotian Shelf,3.29
1983-04-15,Gulf of St. Lawrence,0.053
1983-05-15,Bay of Fundy,3.476
1983-05-15,Scotian Shelf,6.767
1983-05-15,Gulf of St. Lawrence,4.396
1983-06-15,Bay of Fundy,9.219
1983-06-15,Scotian Shelf,10.192
1983-06-15,Gulf of St. Lawrence,9.228
1983-08-15,Bay of Fundy,14.163
1983-08-15,Scotian Shelf,16.861
1983-08-15,Gulf of St. Lawrence,15.715
1983-09-15,Bay of Fundy,13.55
1983-09-15,Scotian Shelf,16.007
1983-09-15,Gulf of St. Lawrence,13.345
1983-10-15,Bay of Fundy,12.205
1983-10-15,Scotian Shelf,14.158
